,iauname,png_loc,input_text,target
621,J150920.20+100018.8,dr5/J150/J150920.20+100018.8.png,artifact,The image of a galaxy revealed a mysterious artifact.
622,J115912.99-015707.0,dr5/J115/J115912.99-015707.0.png,smooth | elliptical | not merging,An elliptical galaxy that is not merging appears smooth in the image.
623,J101924.45-004155.5,dr5/J101/J101924.45-004155.5.png,has features or disk | does not have an edge-on disk | no bar | has spiral arms | tight spiral winding,"This image of a galaxy does not have an edge-on disk, no bar, but instead has tightly wound spiral arms with distinct features."
624,J143028.83+062943.2,dr5/J143/J143028.83+062943.2.png,smooth | has features or disk | elliptical | not merging,An elliptical galaxy that is not merging has a smooth image and features such as a disk.
625,J130822.74+140147.0,dr5/J130/J130822.74+140147.0.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | no spiral arms | small central bulge,"The galaxy image does not have an edge-on disk and is not merging. It also does not have a bar, but has tight spiral winding and a small central bulge but no spiral arms."
626,J113223.42+195440.6,dr5/J113/J113223.42+195440.6.png,smooth | round | not merging,"I'm looking at a smooth, round galaxy image that isn't merging."
627,J141136.32+240442.6,dr5/J141/J141136.32+240442.6.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | medium spiral winding | no spiral arms | small central bulge,"This galaxy has no edge-on disk and is not merging, with no bar and a small central bulge but its image shows medium spiral winding and no spiral arms."
628,J120350.80+143311.0,dr5/J120/J120350.80+143311.0.png,has features or disk | does not have an edge-on disk | no bar | does not have spiral arms | no central bulge,"This galaxy image does not have an edge-on disk, no bar, no spiral arms, and no central bulge, but it still has some features."
629,J020918.14-005217.5,dr5/J020/J020918.14-005217.5.png,smooth | elliptical | not merging,"An elliptical galaxy with a smooth image was observed, not merging with other galaxies."
630,J110129.11+274130.4,dr5/J110/J110129.11+274130.4.png,smooth | cigar-shaped | not merging,"The image of a smooth, cigar-shaped galaxy appeared in the sky, not merging with anything else."
631,J103937.09+021824.5,dr5/J103/J103937.09+021824.5.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and not merging in the image.
632,J021243.92-005003.8,dr5/J021/J021243.92-005003.8.png,has features or disk | does not have an edge-on disk | not merging | no bar | does not have spiral arms | moderate central bulge,"This galaxy image has features of a disk, but does not have an edge-on disk, is not merging, has no bar, does not have spiral arms, and has a moderate central bulge."
633,J125011.15+024630.6,dr5/J125/J125011.15+024630.6.png,smooth | elliptical | not merging,"An image of a smooth elliptical galaxy, not merging with any other."
634,J140936.68+005233.7,dr5/J140/J140936.68+005233.7.png,smooth | elliptical,An elliptical galaxy appears smooth and serene in its image.
635,J140725.91+110538.0,dr5/J140/J140725.91+110538.0.png,smooth | cigar-shaped | not merging,"The image of a smooth, cigar-shaped galaxy showed no signs of merging."
636,J142203.82+214554.8,dr5/J142/J142203.82+214554.8.png,smooth | cigar-shaped | not merging,"This galaxy has a smooth, cigar-shaped image that is not merging."
637,J140819.25-003853.7,dr5/J140/J140819.25-003853.7.png,smooth | elliptical,An image of a smooth elliptical galaxy is breathtaking.
638,J153709.57+082358.9,dr5/J153/J153709.57+082358.9.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and is not merging with another image.
639,J133254.33+250720.9,dr5/J133/J133254.33+250720.9.png,smooth | round | not merging,"The image of the smooth, round galaxy was not merging."
640,J102955.21+300413.5,dr5/J102/J102955.21+300413.5.png,smooth | round,The image of the smooth round galaxy was breathtaking.
641,J095223.63+095610.3,dr5/J095/J095223.63+095610.3.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | medium spiral winding | no spiral arms | small central bulge,"This galaxy has no spiral arms, small central bulge, and no bar; the image does not show an edge-on disk, and it is not merging. However, the galaxy has medium spiral winding in its features or disk."
642,J083523.63+150151.8,dr5/J083/J083523.63+150151.8.png,smooth | round | not merging,"The galaxy image is smooth and round, not merging."
643,J105323.79+020028.9,dr5/J105/J105323.79+020028.9.png,has features or disk | does not have an edge-on disk | not merging | strong bar | does not have spiral arms | no central bulge,"This galaxy image does not have an edge-on disk, merging, spiral arms or a central bulge, but has features such as a strong bar."
644,J104033.37+181729.4,dr5/J104/J104033.37+181729.4.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"The galaxy image has features of an edge-on disk with a rounded central bulge, indicating that it is not merging."
645,J081321.08+192006.6,dr5/J081/J081321.08+192006.6.png,smooth | elliptical | cigar-shaped | not merging,"An elliptical galaxy can appear smooth and cigar-shaped in an image, but is not merging with another galaxy."
646,J000228.81+003831.3,dr5/J000/J000228.81+003831.3.png,smooth | cigar-shaped | merging with minor disturbance | not merging,"The cigar-shaped galaxy was smooth and its image showed it to be merging with a minor disturbance, but not merging completely."
647,J143511.20+235636.2,dr5/J143/J143511.20+235636.2.png,has features or disk | does not have an edge-on disk | merging with minor disturbance | has spiral arms | tight spiral winding | medium spiral winding | one spiral arm | two spiral arms | moderate central bulge,"Galaxy images can have features such as a disk, but not an edge-on disk; merging galaxies may show minor disturbance. Spiral galaxies will have a varying number of spiral arms, from tight to medium winding, or may be single or dual arm, while all types of spiral galaxy may have a moderate central bulge."
648,J075946.80+312859.2,dr5/J075/J075946.80+312859.2.png,smooth | cigar-shaped | not merging,"This cigar-shaped galaxy appears smooth in the image, and is not merging with any others."
649,J104059.77-004939.3,dr5/J104/J104059.77-004939.3.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging."
650,J125506.69+135556.8,dr5/J125/J125506.69+135556.8.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | small central bulge,"The galaxy image has features of a disk that does not have an edge-on disk, is not merging, does not have a bar, but does have spiral arms and a small central bulge."
651,J101039.49-030835.9,dr5/J101/J101039.49-030835.9.png,has features or disk | does not have an edge-on disk | no bar | has spiral arms | tight spiral winding | no spiral arms | small central bulge,"The image of the galaxy has no spiral arms, tight winding, and a small central bulge, but does not have an edge-on disk or a bar."
652,J100321.22+120656.4,dr5/J100/J100321.22+120656.4.png,smooth | elliptical | not merging,"An elliptical galaxy with a smooth image was observed, and it was determined that it was not merging."
653,J142505.15+292237.8,dr5/J142/J142505.15+292237.8.png,smooth | round | not merging,"This image of a galaxy appears smooth and round, not merging."
654,J141738.92-024629.6,dr5/J141/J141738.92-024629.6.png,smooth | cigar-shaped | not merging,"The galaxy was smooth and cigar-shaped, with an image that showed it was not merging."
655,J145115.47+261149.5,dr5/J145/J145115.47+261149.5.png,has features or disk | does not have an edge-on disk | merging with minor disturbance | no bar | does not have spiral arms | small central bulge,"The galaxy, with an image showing features of a disk but not an edge-on disk and with minor disturbance of merging, no bar or spiral arms, and a small central bulge, does not have a typical structure."
656,J135701.82+105116.5,dr5/J135/J135701.82+105116.5.png,smooth | elliptical | not merging,An elliptical galaxy that appears smooth and is not merging can be seen in the image.
657,J150447.15+193007.0,dr5/J150/J150447.15+193007.0.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"This galaxy image has features of an edge-on disk and a rounded central bulge, and is not merging."
658,J092426.74+065630.2,dr5/J092/J092426.74+065630.2.png,smooth | elliptical | not merging,The image of the smooth elliptical galaxy shows that it is not merging with any other galaxies.
659,J143559.02+204151.1,dr5/J143/J143559.02+204151.1.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"This galaxy has a rounded central bulge and an edge-on disk with features, and is not merging with another galaxy."
660,J004839.89+012550.0,dr5/J004/J004839.89+012550.0.png,smooth | elliptical | not merging,"An elliptical galaxy appears smooth in the image, not merging with another."
661,J135003.80+072132.3,dr5/J135/J135003.80+072132.3.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging."
662,J142733.34+213842.7,dr5/J142/J142733.34+213842.7.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and is not merging with any other images.
663,J093619.44+003148.8,dr5/J093/J093619.44+003148.8.png,smooth | elliptical | cigar-shaped | not merging,"This elliptical galaxy has a smooth, cigar-shaped image, and is not merging."
664,J104317.06+082558.3,dr5/J104/J104317.06+082558.3.png,smooth | round | elliptical | not merging,"Galaxy images show that elliptical galaxies are generally smooth and round, not merging."
665,J235135.06-005419.7,dr5/J235/J235135.06-005419.7.png,smooth | round | not merging,"The galaxy image was smooth and round, not merging."
666,J003813.13+182044.8,dr5/J003/J003813.13+182044.8.png,smooth | elliptical | not merging,An elliptical galaxy may produce a smooth image since it is not merging with any other galaxies.
667,J143911.01+191031.1,dr5/J143/J143911.01+191031.1.png,has features or disk | does not have an edge-on disk | merging with major disturbance | no bar | has spiral arms | loose spiral winding | two spiral arms | three spiral arms,"This galaxy, as seen in the image, does not have an edge-on disk and shows major signs of disturbance, but has no bar. Instead, it features two to three loose spiral arms with a winding pattern, suggesting a history of merging with other galaxies."
668,J154505.37+262341.4,dr5/J154/J154505.37+262341.4.png,has features or disk | does not have an edge-on disk | not merging | weak bar | does not have spiral arms | small central bulge,"This galaxy image does not have an edge-on disk, a weak bar, spiral arms, or a large central bulge; however, it does have some features that suggest it is not merging."
669,J122028.80+171451.8,dr5/J122/J122028.80+171451.8.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"The galaxy image has features of an edge-on disk and a rounded central bulge, and is not merging."
670,J152022.38+073356.1,dr5/J152/J152022.38+073356.1.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging."
671,J140839.34-002158.1,dr5/J140/J140839.34-002158.1.png,smooth | round,"The smooth, round image of the galaxy glowed brightly."
672,J091319.39+275645.7,dr5/J091/J091319.39+275645.7.png,has features or disk | does not have an edge-on disk | not merging | weak bar | has spiral arms | loose spiral winding | two spiral arms | moderate central bulge,"This galaxy image has two loose spiral arms, a weak bar, and a moderate central bulge, but does not have an edge-on disk nor appear to be merging. The arms have a moderate winding and there are no additional features."
673,J222521.87-001444.2,dr5/J222/J222521.87-001444.2.png,smooth | elliptical,"The smooth, elliptical image of the distant galaxy was mesmerizing."
674,J213922.28-072108.8,dr5/J213/J213922.28-072108.8.png,has features or disk | does not have an edge-on disk | not merging | strong bar | has spiral arms | medium spiral winding | two spiral arms | small central bulge,"This galaxy is a medium spiral winding with two arms, a small central bulge, and features a strong bar, but does not have an edge-on disk. The image shows that it is not merging, and has spiral arms."
675,J152102.92+185041.0,dr5/J152/J152102.92+185041.0.png,has features or disk | has an edge-on disk | not merging,The galaxy image has features of an edge-on disk that is not merging.
676,J103847.49+002050.8,dr5/J103/J103847.49+002050.8.png,smooth | elliptical | not merging,The image of the elliptical galaxy was smooth and not merging.
677,J133733.26-025225.2,dr5/J133/J133733.26-025225.2.png,has features or disk | has an edge-on disk | not merging | boxy central bulge,"This galaxy has a boxy central bulge, not merging with other galaxies, and an edge-on disk which can be seen in the image, featuring spiral arms of varying length."
678,J112601.38+154753.4,dr5/J112/J112601.38+154753.4.png,has features or disk | does not have an edge-on disk | not merging | weak bar | has spiral arms | loose spiral winding | two spiral arms | moderate central bulge,"This galaxy image has features such as a weak bar, two loose spiral arms with moderate winding and a moderate central bulge, but it does not have an edge-on disk nor is it merging."
679,J115540.42+042024.6,dr5/J115/J115540.42+042024.6.png,smooth | elliptical | not merging,"An image of an elliptical galaxy appears smooth, not merging."
680,J124143.03+151821.3,dr5/J124/J124143.03+151821.3.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | medium spiral winding | no spiral arms | small central bulge,"This galaxy has features such as no edge-on disk, not merging, no bar, medium spiral winding and a small central bulge, but lacks spiral arms, which makes it easily distinguishable in an image."
681,J081244.40+225429.9,dr5/J081/J081244.40+225429.9.png,smooth | cigar-shaped | not merging,"The galaxy image showed a smooth, cigar-shaped structure, not merging with other galaxies."
682,J131530.79+020407.0,dr5/J131/J131530.79+020407.0.png,has features or disk | does not have an edge-on disk | not merging | strong bar | has spiral arms | medium spiral winding | two spiral arms | small central bulge,"This galaxy has strong spiral arms, with a medium spiral winding, two spiral arms, and a small central bulge, visible in the image. It does not have an edge-on disk, nor is it merging, and has no evidence of a strong bar."
683,J155653.77+195638.5,dr5/J155/J155653.77+195638.5.png,smooth | elliptical | not merging,An elliptical galaxy with a smooth image is not merging.
684,J153408.24+073057.2,dr5/J153/J153408.24+073057.2.png,has features or disk | has an edge-on disk | merging with minor disturbance | rounded central bulge,"This image of a galaxy shows features such as an edge-on disk with a minor disturbance, as well as a rounded central bulge, indicating that the galaxy is in the process of merging."
685,J105053.17+321146.6,dr5/J105/J105053.17+321146.6.png,has features or disk | does not have an edge-on disk | not merging | has spiral arms | tight spiral winding | moderate central bulge,"This galaxy has features such as spiral arms with tight winding, a moderate central bulge, and no edge-on disk, indicating that it is not merging and is likely a spiral galaxy with an image that does not show the entire disk."
686,J145952.49+274721.3,dr5/J145/J145952.49+274721.3.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and is not merging with another.
687,J093336.62+083803.9,dr5/J093/J093336.62+083803.9.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | moderate central bulge,"The galaxy image has spiral arms with tight winding and a moderate central bulge, and does not have an edge-on disk or a bar, and is not merging."
688,J150001.06+110211.8,dr5/J150/J150001.06+110211.8.png,smooth | cigar-shaped | not merging,"Recently, an image of a smooth, cigar-shaped galaxy that showed no signs of merging was captured."
689,J090904.73+200550.2,dr5/J090/J090904.73+200550.2.png,has features or disk | does not have an edge-on disk | not merging | strong bar | does not have spiral arms | moderate central bulge,"This galaxy has strong features such as a central bulge and a bar, but does not have an edge-on disk or spiral arms, making it distinct from merging galaxies."
690,J101918.34+225334.8,dr5/J101/J101918.34+225334.8.png,smooth | elliptical | not merging,"An elliptical galaxy appears smooth, not merging with any other images."
691,J143620.79+223023.5,dr5/J143/J143620.79+223023.5.png,smooth | cigar-shaped,"The smooth, cigar-shaped image of a distant galaxy glimmered in the night sky."
692,J160229.92+182859.7,dr5/J160/J160229.92+182859.7.png,smooth | round | not merging,"The galaxy was an image of a smooth and round shape, not merging with any other."
693,J101858.99+172136.3,dr5/J101/J101858.99+172136.3.png,smooth | elliptical | not merging,An elliptical galaxy in the image appears smooth and not merging.
694,J114945.41-004856.2,dr5/J114/J114945.41-004856.2.png,smooth | artifact | elliptical | not merging,"The elliptical galaxy appeared smooth in the image, with no merging artifacts."
695,J085341.12+120140.0,dr5/J085/J085341.12+120140.0.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and not merging in the image.
696,J093006.84+184201.2,dr5/J093/J093006.84+184201.2.png,smooth | cigar-shaped | not merging,"A galaxy with a smooth, cigar-shaped image was found to not be merging."
697,J095358.08+121308.1,dr5/J095/J095358.08+121308.1.png,smooth | elliptical | not merging,"The galaxy image showed an elliptical, smooth shape not merging with any other galaxies."
698,J150410.62+080315.8,dr5/J150/J150410.62+080315.8.png,smooth | cigar-shaped | not merging,This image shows a smooth cigar-shaped galaxy that is not merging with any other galaxies.
699,J095326.86+330225.8,dr5/J095/J095326.86+330225.8.png,smooth | elliptical,The smooth elliptical image of the galaxy was breathtaking.
700,J140715.39+080110.8,dr5/J140/J140715.39+080110.8.png,artifact,An image of a galaxy reveals an artifact.
701,J143705.38+162444.7,dr5/J143/J143705.38+162444.7.png,smooth | cigar-shaped | not merging,"The image of the galaxy was smooth and cigar-shaped, not merging."
702,J152137.97-023032.9,dr5/J152/J152137.97-023032.9.png,smooth | round | not merging,"This image shows a smooth, round galaxy that is not merging."
703,J132508.93+075016.9,dr5/J132/J132508.93+075016.9.png,smooth | round | elliptical | not merging,"An elliptical galaxy appears smooth and round, not merging with any other images."
704,J225158.53+144233.6,dr5/J225/J225158.53+144233.6.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and not merging in the image.
705,J115038.27+124711.4,dr5/J115/J115038.27+124711.4.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and not merging in the image.
706,J095644.29-014320.0,dr5/J095/J095644.29-014320.0.png,smooth | elliptical | not merging,"An elliptical galaxy is observed to have a smooth image, not merging with other galaxies."
707,J230913.73-005634.1,dr5/J230/J230913.73-005634.1.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | four spiral arms | small central bulge,"The galaxy image has features of a disk that does not have an edge-on disk, is not merging, and has no bar. It has four tight spiral arms winding around a small central bulge."
708,J093801.27+121424.8,dr5/J093/J093801.27+121424.8.png,smooth | elliptical | merging with minor disturbance,An image of an elliptical galaxy merging with a minor disturbance reveals its smooth surface.
709,J105852.07+301713.1,dr5/J105/J105852.07+301713.1.png,has features or disk | does not have an edge-on disk | no bar | does not have spiral arms | moderate central bulge,"The image of this galaxy has features of a disk, but does not have an edge-on disk, no bar, or spiral arms, and has a moderate central bulge."
710,J135525.88+054344.7,dr5/J135/J135525.88+054344.7.png,has features or disk | has an edge-on disk | not merging,"The galaxy image has features, such as an edge-on disk, that suggest it is not currently merging."
711,J095441.96+024932.0,dr5/J095/J095441.96+024932.0.png,has features or disk | does not have an edge-on disk | no bar | does not have spiral arms,"This galaxy image has features of a disk, but does not have an edge-on disk, bar, or spiral arms."
712,J105031.55+202001.2,dr5/J105/J105031.55+202001.2.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"An image of a galaxy with an edge-on disk and a rounded central bulge, which has features that are not merging, can be seen."
713,J164318.25+265947.9,dr5/J164/J164318.25+265947.9.png,smooth | cigar-shaped | merging | not merging,"When two galaxies are merging, the cigar-shaped images appear smooth, but when not merging, the images do not appear as smooth."
714,J090935.20+193030.8,dr5/J090/J090935.20+193030.8.png,has features or disk | does not have an edge-on disk | merging with major disturbance | has spiral arms | loose spiral winding | two spiral arms,"This galaxy image has features that indicate it is likely merging with a major disturbance, including two loose spiral arms with a thick dust lane and no evidence of an edge-on disk. The spiral arms are winding quite loosely, suggesting the merger has triggered a substantial disruption to its structure."
715,J103021.92+035743.3,dr5/J103/J103021.92+035743.3.png,smooth | elliptical | cigar-shaped | not merging,"An elliptical galaxy appears smooth and cigar-shaped, not merging with any other galaxies."
716,J141756.31+170234.4,dr5/J141/J141756.31+170234.4.png,has features or disk | does not have an edge-on disk | not merging | strong bar | has spiral arms | medium spiral winding | three spiral arms | small central bulge,"The galaxy image has strong spiral arms winding around a small central bulge, and does not have an edge-on disk or signs of merging. It has three tightly wound spiral arms and a medium spiral winding."
717,J104212.92+084118.7,dr5/J104/J104212.92+084118.7.png,smooth | elliptical | merging with minor disturbance | not merging,"The smooth elliptical galaxy was captured in the image, merging with minor disturbance but not fully merging."
718,J103424.92+022513.0,dr5/J103/J103424.92+022513.0.png,has features or disk | does not have an edge-on disk | merging with minor disturbance | no bar | has spiral arms | medium spiral winding | more than four spiral arms | small central bulge,"This galaxy image has features of a disk without an edge-on disk, minor disturbance from merging, no bar, medium spiral winding with more than four spiral arms, and a small central bulge."
719,J090857.75+315245.8,dr5/J090/J090857.75+315245.8.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | does not have spiral arms | loose spiral winding | no spiral arms | no central bulge,"This galaxy image has features such as no edge-on disk, not merging, no bar, loose spiral winding and no central bulge, but does not have spiral arms."
720,J093540.02+100849.0,dr5/J093/J093540.02+100849.0.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | tight spiral winding | two spiral arms | moderate central bulge,"This galaxy image has features such as two spiral arms with a moderate central bulge and tight spiral winding, but no bar or edge-on disk, and is not in a merging state."
721,J102359.49+172036.9,dr5/J102/J102359.49+172036.9.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging."
722,J114620.00+094008.3,dr5/J114/J114620.00+094008.3.png,smooth | elliptical | not merging,An image of smooth elliptical galaxy not merging was seen.
723,J091836.30+114419.7,dr5/J091/J091836.30+114419.7.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging with any other galaxies."
724,J125919.23-015440.9,dr5/J125/J125919.23-015440.9.png,smooth | artifact | round | merging | not merging,The smooth image revealed round galaxies that were merging but not merging with artifacts.
725,J145413.33+105820.8,dr5/J145/J145413.33+105820.8.png,smooth | round | not merging,The smooth and round galaxy image was not merging.
726,J095247.53+014709.5,dr5/J095/J095247.53+014709.5.png,smooth | cigar-shaped | not merging,"A smooth, cigar-shaped galaxy was imaged and found to not be merging."
727,J105956.34+295946.0,dr5/J105/J105956.34+295946.0.png,smooth | cigar-shaped | not merging,A smooth cigar-shaped galaxy image was not merging.
728,J112753.73-004018.9,dr5/J112/J112753.73-004018.9.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and is not merging with other galaxies in the image.
729,J094020.17+272841.7,dr5/J094/J094020.17+272841.7.png,smooth | elliptical | not merging,An elliptical galaxy can be seen in the image which appears to be smooth and not merging.
730,J151007.14+081041.7,dr5/J151/J151007.14+081041.7.png,smooth | round | not merging,"The smooth, round image of the galaxy was not merging."
731,J212056.66+040058.3,dr5/J212/J212056.66+040058.3.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"This galaxy can be identified by its edge-on disk and rounded central bulge, with features that indicate it is not merging. The image of the galaxy clearly shows these features."
732,J153149.08+331333.8,dr5/J153/J153149.08+331333.8.png,smooth | cigar-shaped | not merging,"The galaxy appears as a smooth, cigar-shaped image, not merging with its surroundings."
733,J135350.24+162929.8,dr5/J135/J135350.24+162929.8.png,has features or disk | does not have an edge-on disk | not merging | strong bar | does not have spiral arms | moderate central bulge,"This galaxy image has features of a disk but does not have an edge-on disk or spiral arms, however it does have a strong bar and a moderate central bulge, indicating that it is not merging."
734,J104938.24+195312.5,dr5/J104/J104938.24+195312.5.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and is not merging with other galaxies in the image.
735,J113201.13+162236.3,dr5/J113/J113201.13+162236.3.png,smooth | cigar-shaped | not merging,"This galaxy has a smooth, cigar-shaped image that is not merging."
736,J120222.01-012711.9,dr5/J120/J120222.01-012711.9.png,has features or disk | has an edge-on disk | no central bulge,This galaxy has an edge-on disk with no central bulge and features like an image.
737,J082752.83+260502.4,dr5/J082/J082752.83+260502.4.png,smooth | elliptical,An image of a smooth elliptical galaxy shimmered on the cosmic horizon.
738,J143730.50+100046.4,dr5/J143/J143730.50+100046.4.png,smooth | elliptical | not merging,"An elliptical galaxy appears smooth, not merging with another image."
739,J134617.56+241437.7,dr5/J134/J134617.56+241437.7.png,smooth | cigar-shaped | not merging,"The galaxy was smooth and cigar-shaped in the image, not merging."
740,J102329.24+090404.9,dr5/J102/J102329.24+090404.9.png,smooth | elliptical | not merging,"An image of a smooth elliptical galaxy, not merging, is seen."
741,J152358.70+243540.3,dr5/J152/J152358.70+243540.3.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"This galaxy image has features such as an edge-on disk and a rounded central bulge, and is not currently merging with another galaxy."
742,J022336.15-005705.6,dr5/J022/J022336.15-005705.6.png,smooth | elliptical | not merging,The smooth elliptical galaxy image did not appear to be merging with any other galaxies.
743,J151354.59+030533.5,dr5/J151/J151354.59+030533.5.png,smooth | has features or disk | round | elliptical | not merging,"The image of the galaxy is smooth and round, but not merging, with features of an elliptical disk."
744,J141509.40+214143.4,dr5/J141/J141509.40+214143.4.png,smooth | round | not merging,"The galaxy had an image of a smooth, round object that was not merging."
745,J142113.45-002759.5,dr5/J142/J142113.45-002759.5.png,smooth | round | not merging,"This image of a galaxy is surprisingly smooth and round, not merging with any other object."
746,J134154.19+170836.9,dr5/J134/J134154.19+170836.9.png,smooth | elliptical | not merging,An elliptical galaxy with a smooth image is not merging.
747,J112011.90-014152.0,dr5/J112/J112011.90-014152.0.png,smooth | cigar-shaped,"A smooth, cigar-shaped galaxy image can be seen in the night sky."
748,J111407.66-002301.4,dr5/J111/J111407.66-002301.4.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth in the image and is not merging.
749,J141657.27+035010.0,dr5/J141/J141657.27+035010.0.png,artifact,An image of a distant galaxy revealed an ancient artifact.
750,J114050.17-033102.6,dr5/J114/J114050.17-033102.6.png,has features or disk | does not have an edge-on disk | no bar | has spiral arms | tight spiral winding | moderate central bulge,"This galaxy image has features of a disk with no edge-on view, no bar structure, and visible spiral arms with tight winding and moderate central bulge."
751,J082020.37+153905.6,dr5/J082/J082020.37+153905.6.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"The galaxy image has features of an edge-on disk with a rounded central bulge, and is not merging."
752,J144022.64+001640.7,dr5/J144/J144022.64+001640.7.png,has features or disk | does not have an edge-on disk | no bar | has spiral arms | tight spiral winding | small central bulge,"This galaxy image has features of a disk with no edge-on disk, no bar, spiral arms with tight winding, and a small central bulge."
753,J004931.17+155913.8,dr5/J004/J004931.17+155913.8.png,has features or disk | does not have an edge-on disk | not merging | no bar | does not have spiral arms | large central bulge,"This galaxy has a large central bulge and features such as a disk, but does not have an edge-on disk, spiral arms or a bar, and is not merging with another galaxy."
754,J151933.93+303057.6,dr5/J151/J151933.93+303057.6.png,smooth | elliptical | not merging,The image shows an elliptical galaxy that is smooth and not merging with another.
755,J151055.79+173828.8,dr5/J151/J151055.79+173828.8.png,has features or disk | does not have an edge-on disk | merging with minor disturbance | not merging | weak bar | has spiral arms | medium spiral winding | two spiral arms | small central bulge,"The galaxy has an image with two spiral arms with medium spiral winding and a weak bar, but does not have an edge-on disk. It has a small central bulge and is not merging, but it has features indicating minor disturbance, suggesting it may be in the process of merging."
756,J083021.11+270821.3,dr5/J083/J083021.11+270821.3.png,smooth | elliptical | not merging,"The image of the elliptical galaxy was smooth, not merging."
757,J082852.12+081813.0,dr5/J082/J082852.12+081813.0.png,smooth | round | elliptical | not merging,"An image of an elliptical galaxy appears smooth and round, not merging with any other galaxies."
758,J102249.62+204755.0,dr5/J102/J102249.62+204755.0.png,has features or disk | does not have an edge-on disk | not merging | no bar | has spiral arms | does not have spiral arms | tight spiral winding | loose spiral winding | two spiral arms | no spiral arms | small central bulge,"This galaxy has features such as no edge-on disk, no bar, two spiral arms with tight or loose spiral winding and a small central bulge but no merging, and no spiral arms."
759,J084523.11+095111.5,dr5/J084/J084523.11+095111.5.png,smooth | elliptical | merging with minor disturbance,The image showed a smooth elliptical galaxy merging with a minor disturbance.
760,J100905.50+250651.0,dr5/J100/J100905.50+250651.0.png,smooth | round | elliptical | not merging,"The galaxy appeared as a smooth and round elliptical, not merging with another."
761,J130937.22+181652.4,dr5/J130/J130937.22+181652.4.png,has features or disk | has an edge-on disk | not merging | rounded central bulge,"The galaxy image has features such as an edge-on disk and a rounded central bulge, indicating that it is not merging."
762,J105803.94+275543.1,dr5/J105/J105803.94+275543.1.png,smooth | round | not merging,"A smooth, round galaxy was imaged, not merging with another."
763,J133112.80+150827.9,dr5/J133/J133112.80+150827.9.png,smooth | round | not merging,"The image of the galaxy was smooth and round, not merging."
764,J144325.05+084047.9,dr5/J144/J144325.05+084047.9.png,smooth | elliptical | not merging,An elliptical galaxy appears smooth and not merging in the image.
765,J140630.99+060139.4,dr5/J140/J140630.99+060139.4.png,artifact,The image of the galaxy revealed an artifact.
766,J092436.94+034940.8,dr5/J092/J092436.94+034940.8.png,smooth | elliptical | not merging,An elliptical galaxy with a smooth image is not merging.
767,J010714.80-030813.0,dr5/J010/J010714.80-030813.0.png,has features or disk | does not have an edge-on disk | merging with major disturbance | no bar | weak bar | does not have spiral arms | small central bulge,"This galaxy image does not have an edge-on disk, a bar, or spiral arms, but has a small central bulge and features or disk indicating it may be in the process of merging with a major disturbance, with no strong bar present."
768,J151722.96+041248.9,dr5/J151/J151722.96+041248.9.png,smooth | elliptical,Smooth elliptical galaxies can be seen in stunning images.
769,J144004.14+181118.4,dr5/J144/J144004.14+181118.4.png,has features or disk | does not have an edge-on disk | merging with major disturbance | no bar | does not have spiral arms,"The galaxy image has features of a disk, but does not have an edge-on disk, as it is merging with a major disturbance and also lacks a bar and spiral arms."
770,J084518.51+142034.1,dr5/J084/J084518.51+142034.1.png,has features or disk | has an edge-on disk | merging with minor disturbance | rounded central bulge,"We can observe a galaxy with an image that has features of an edge-on disk, merging with minor disturbance as well as a rounded central bulge."
